Party,Seats,Implied Vote Share
Reform UK,180,23.70%
Conservative,165,24.30%
Labour,165,24.50%
Liberal Democrat,67,13.30%
Scottish National Party,35,2.20%
Other,10,3.70%
Plaid Cymru,5,0.70%
Green Party,4,7.70%
